index,filename,subject,mesonet_score,mesonet_verdict,gend_vit_l_score,gend_hypersphere_d,gend_verdict,netra_original_score,netra_original_verdict,merged_netra_gend_score,merged_verdict
50,deepfake_N_S_Raja_Subramani.mp4,N S Raja Subramani,0.135,MISSED (Real),0.88,0.35,DEEPFAKE,0.849,DEEPFAKE,0.92,CRITICAL DEEPFAKE
51,deepfake_Narendra_Modi.mp4,Narendra Modi,0.423,MISSED (Real),0.88,0.351,DEEPFAKE,0.907,DEEPFAKE,0.92,CRITICAL DEEPFAKE
52,deepfake_Neeraj_Chopra.mp4,Neeraj Chopra,0.438,MISSED (Real),0.892,0.339,DEEPFAKE,0.925,DEEPFAKE,0.92,CRITICAL DEEPFAKE
53,deepfake_Nikhil_Kamath.mp4,Nikhil Kamath,0.126,MISSED (Real),0.903,0.361,DEEPFAKE,0.921,DEEPFAKE,0.92,CRITICAL DEEPFAKE
54,deepfake_Nirmala_Sitharaman.mp4,Nirmala Sitharaman,0.207,MISSED (Real),0.88,0.358,DEEPFAKE,0.928,DEEPFAKE,0.92,CRITICAL DEEPFAKE
55,deepfake_Nithin_Kamath.mp4,Nithin Kamath,0.142,MISSED (Real),0.953,0.399,DEEPFAKE,0.881,DEEPFAKE,0.933,CRITICAL DEEPFAKE
56,deepfake_Nitin_Gadkari.mp4,Nitin Gadkari,0.252,MISSED (Real),0.888,0.372,DEEPFAKE,0.877,DEEPFAKE,0.92,CRITICAL DEEPFAKE
57,deepfake_Nitin_Nabin.mp4,Nitin Nabin,0.395,MISSED (Real),0.88,0.321,DEEPFAKE,0.873,DEEPFAKE,0.92,CRITICAL DEEPFAKE
58,deepfake_Nitish_Kumar.mp4,Nitish Kumar,0.198,MISSED (Real),0.88,0.351,DEEPFAKE,0.857,DEEPFAKE,0.92,CRITICAL DEEPFAKE
59,deepfake_Om_Birla.mp4,Om Birla,0.399,MISSED (Real),0.885,0.367,DEEPFAKE,0.902,DEEPFAKE,0.92,CRITICAL DEEPFAKE
60,deepfake_PV_Sindhu.mp4,PV Sindhu,0.335,MISSED (Real),0.905,0.381,DEEPFAKE,0.912,DEEPFAKE,0.92,CRITICAL DEEPFAKE
61,deepfake_Peyush_Bansal.mp4,Peyush Bansal,0.231,MISSED (Real),0.938,0.397,DEEPFAKE,0.868,DEEPFAKE,0.921,CRITICAL DEEPFAKE
62,deepfake_Pinarayi_Vijayan.mp4,Pinarayi Vijayan,0.175,MISSED (Real),0.899,0.351,DEEPFAKE,0.901,DEEPFAKE,0.92,CRITICAL DEEPFAKE
63,deepfake_Piyush_Goyal.mp4,Piyush Goyal,0.18,MISSED (Real),0.895,0.342,DEEPFAKE,0.912,DEEPFAKE,0.92,CRITICAL DEEPFAKE
64,deepfake_Prabhas.mp4,Prabhas,0.35,MISSED (Real),0.922,0.407,DEEPFAKE,0.851,DEEPFAKE,0.92,CRITICAL DEEPFAKE
65,deepfake_R_Venkataramani.mp4,R Venkataramani,0.42,MISSED (Real),0.961,0.402,DEEPFAKE,0.898,DEEPFAKE,0.942,CRITICAL DEEPFAKE
66,deepfake_Radhakishan_Damani.mp4,Radhakishan Damani,0.267,MISSED (Real),0.88,0.327,DEEPFAKE,0.872,DEEPFAKE,0.92,CRITICAL DEEPFAKE
67,deepfake_Raghuram_Rajan.mp4,Raghuram Rajan,0.168,MISSED (Real),0.88,0.322,DEEPFAKE,0.874,DEEPFAKE,0.92,CRITICAL DEEPFAKE
68,deepfake_Rahul_Gandhi.mp4,Rahul Gandhi,0.396,MISSED (Real),0.929,0.396,DEEPFAKE,0.883,DEEPFAKE,0.92,CRITICAL DEEPFAKE
69,deepfake_Rajinikanth.mp4,Rajinikanth,0.173,MISSED (Real),0.88,0.323,DEEPFAKE,0.906,DEEPFAKE,0.92,CRITICAL DEEPFAKE
70,deepfake_Rajnath_Singh.mp4,Rajnath Singh,0.399,MISSED (Real),0.895,0.376,DEEPFAKE,0.849,DEEPFAKE,0.92,CRITICAL DEEPFAKE
71,deepfake_Revanth_Reddy.mp4,Revanth Reddy,0.345,MISSED (Real),0.887,0.355,DEEPFAKE,0.858,DEEPFAKE,0.92,CRITICAL DEEPFAKE
72,deepfake_Ritesh_Agarwal.mp4,Ritesh Agarwal,0.123,MISSED (Real),0.9,0.352,DEEPFAKE,0.872,DEEPFAKE,0.92,CRITICAL DEEPFAKE
73,deepfake_Rohit_Sharma.mp4,Rohit Sharma,0.291,MISSED (Real),0.894,0.34,DEEPFAKE,0.908,DEEPFAKE,0.92,CRITICAL DEEPFAKE
74,deepfake_SS_Rajamouli.mp4,SS Rajamouli,0.373,MISSED (Real),0.88,0.324,DEEPFAKE,0.884,DEEPFAKE,0.92,CRITICAL DEEPFAKE
75,deepfake_S_Jaishankar.mp4,S Jaishankar,0.274,MISSED (Real),0.897,0.364,DEEPFAKE,0.846,DEEPFAKE,0.92,CRITICAL DEEPFAKE
76,deepfake_S_Somanath.mp4,S Somanath,0.396,MISSED (Real),0.927,0.387,DEEPFAKE,0.918,DEEPFAKE,0.927,CRITICAL DEEPFAKE
77,deepfake_Sachin_Bansal.mp4,Sachin Bansal,0.351,MISSED (Real),0.881,0.359,DEEPFAKE,0.844,DEEPFAKE,0.92,CRITICAL DEEPFAKE
78,deepfake_Sachin_Tendulkar.mp4,Sachin Tendulkar,0.211,MISSED (Real),0.95,0.407,DEEPFAKE,0.854,DEEPFAKE,0.924,CRITICAL DEEPFAKE
79,deepfake_Saina_Nehwal.mp4,Saina Nehwal,0.154,MISSED (Real),0.929,0.405,DEEPFAKE,0.877,DEEPFAKE,0.92,CRITICAL DEEPFAKE
80,deepfake_Sania_Mirza.mp4,Sania Mirza,0.379,MISSED (Real),0.88,0.325,DEEPFAKE,0.91,DEEPFAKE,0.92,CRITICAL DEEPFAKE
81,deepfake_Savitri_Jindal.mp4,Savitri Jindal,0.385,MISSED (Real),0.88,0.33,DEEPFAKE,0.914,DEEPFAKE,0.92,CRITICAL DEEPFAKE
82,deepfake_Shah_Rukh_Khan.mp4,Shah Rukh Khan,0.368,MISSED (Real),0.899,0.384,DEEPFAKE,0.848,DEEPFAKE,0.92,CRITICAL DEEPFAKE
83,deepfake_Shaktikanta_Das.mp4,Shaktikanta Das,0.14,MISSED (Real),0.961,0.409,DEEPFAKE,0.85,DEEPFAKE,0.93,CRITICAL DEEPFAKE
84,deepfake_Sharad_Pawar.mp4,Sharad Pawar,0.375,MISSED (Real),0.88,0.324,DEEPFAKE,0.89,DEEPFAKE,0.92,CRITICAL DEEPFAKE
85,deepfake_Shashi_Tharoor.mp4,Shashi Tharoor,0.335,MISSED (Real),0.88,0.324,DEEPFAKE,0.879,DEEPFAKE,0.92,CRITICAL DEEPFAKE
86,deepfake_Shiv_Nadar.mp4,Shiv Nadar,0.204,MISSED (Real),0.935,0.42,DEEPFAKE,0.874,DEEPFAKE,0.921,CRITICAL DEEPFAKE
87,deepfake_Siddaramaiah.mp4,Siddaramaiah,0.401,MISSED (Real),0.88,0.326,DEEPFAKE,0.911,DEEPFAKE,0.92,CRITICAL DEEPFAKE
88,deepfake_Soumya_Swaminathan.mp4,Soumya Swaminathan,0.266,MISSED (Real),0.927,0.385,DEEPFAKE,0.899,DEEPFAKE,0.922,CRITICAL DEEPFAKE
89,deepfake_Sridhar_Vembu.mp4,Sridhar Vembu,0.429,MISSED (Real),0.95,0.393,DEEPFAKE,0.906,DEEPFAKE,0.938,CRITICAL DEEPFAKE
90,deepfake_Sunil_Bharti_Mittal.mp4,Sunil Bharti Mittal,0.321,MISSED (Real),0.909,0.387,DEEPFAKE,0.893,DEEPFAKE,0.92,CRITICAL DEEPFAKE
91,deepfake_Sunil_Chhetri.mp4,Sunil Chhetri,0.135,MISSED (Real),0.901,0.376,DEEPFAKE,0.901,DEEPFAKE,0.92,CRITICAL DEEPFAKE
92,deepfake_Surya_Kant.mp4,Surya Kant,0.255,MISSED (Real),0.894,0.372,DEEPFAKE,0.926,DEEPFAKE,0.92,CRITICAL DEEPFAKE
93,deepfake_T_V_Somanathan.mp4,T V Somanathan,0.27,MISSED (Real),0.932,0.399,DEEPFAKE,0.909,DEEPFAKE,0.927,CRITICAL DEEPFAKE
94,deepfake_Uday_Kotak.mp4,Uday Kotak,0.19,MISSED (Real),0.896,0.346,DEEPFAKE,0.903,DEEPFAKE,0.92,CRITICAL DEEPFAKE
95,deepfake_Uddhav_Thackeray.mp4,Uddhav Thackeray,0.161,MISSED (Real),0.946,0.39,DEEPFAKE,0.896,DEEPFAKE,0.933,CRITICAL DEEPFAKE
96,deepfake_Venki_Ramakrishnan.mp4,Venki Ramakrishnan,0.371,MISSED (Real),0.904,0.383,DEEPFAKE,0.908,DEEPFAKE,0.92,CRITICAL DEEPFAKE
97,deepfake_Vijay_Shekhar_Sharma.mp4,Vijay Shekhar Sharma,0.406,MISSED (Real),0.891,0.345,DEEPFAKE,0.919,DEEPFAKE,0.92,CRITICAL DEEPFAKE
98,deepfake_Virat_Kohli.mp4,Virat Kohli,0.41,MISSED (Real),0.924,0.405,DEEPFAKE,0.854,DEEPFAKE,0.92,CRITICAL DEEPFAKE
99,deepfake_Viswanathan_Anand.mp4,Viswanathan Anand,0.322,MISSED (Real),0.915,0.369,DEEPFAKE,0.909,DEEPFAKE,0.92,CRITICAL DEEPFAKE
100,deepfake_Yogi_Adityanath.mp4,Yogi Adityanath,0.297,MISSED (Real),0.937,0.419,DEEPFAKE,0.861,DEEPFAKE,0.92,CRITICAL DEEPFAKE
